First Name,Last Name,Date of Birth,Person ID,Case Opened Date,Case Closed Date
Fred,Flinstone,4/14/2001,1000060,10/1/2019,
Charlie,Dog,11/15/2001,1000180,9/1/2019,11/1/2019
Road,Runner,1/5/1990,1000040,7/5/2019,10/31/2019
Cecil,Turtle,7/15/1965,1000200,7/1/2019,9/6/2019
Bugs,Bunny,6/16/1985,1000100,5/25/2019,9/12/2019
Marvin,Martian,12/5/2023,1000070,5/15/2019,9/21/2019
Ralph,Phillips,9/29/1999,1000220,5/12/2019,9/1/2019
Tweety,Bird,5/9/1987,1000010,5/9/2019,10/16/2019
Penelope,Cat,3/19/1988,1000150,5/7/2019,
Foghorn,Leghorn,8/15/1997,1000130,4/23/2019,10/1/2019
Petunia,Pig,12/14/2002,1000190,4/14/2019,8/5/2019
Wiley,Coyote,3/5/2000,1000050,4/13/2019,7/30/2019
Sylvester,Cat,3/8/1998,1000030,4/1/2019,8/12/2019
Roger,Rabbit,8/1/1995,1000090,3/14/2019,9/12/2019
Buster,Bunny,9/3/1992,1000020,1/20/2019,5/4/2019
Yosemite,Sam,5/17/1993,1000160,1/19/2019,6/15/2019
Tasmanian,Devil,11/25/2023,1000140,1/12/2019,7/15/2019
Spongebob,Squarepants,6/13/1991,1000120,1/5/2019,9/12/2019
Elmer,Fudd,7/29/1999,1000080,9/19/2018,
Hector,Bulldog,10/19/1998,1000170,8/12/2018,9/11/2019
Giovanni,Jones,8/4/1957,1000210,8/5/2018,2/1/2019
Daffy,Duck,4/22/1975,1000110,8/1/2018,
Road,Runner,1/5/1990,1000040,3/5/2018,8/22/2018
